img_id,img_width,img_height,img_file,cat_id,cat_name,supercategory,ann_id,x,y,width,height,area
9,1537,2049,batch_1/000007.jpg,50,Pop tab,Pop tab,23,781.0,125.0,85.0,57.0,3518.5
10,1537,2049,batch_1/000012.jpg,6,Glass bottle,Bottle,24,379.0,1127.0,425.0,318.0,43489.0
10,1537,2049,batch_1/000012.jpg,39,Other plastic wrapper,Plastic bag & wrapper,25,904.0,1083.0,37.0,26.0,570.5
11,1537,2049,batch_1/000014.jpg,57,Styrofoam piece,Styrofoam piece,26,1072.0,983.0,124.0,147.0,8942.5
11,1537,2049,batch_1/000014.jpg,57,Styrofoam piece,Styrofoam piece,27,914.0,1308.0,243.0,187.0,28200.5
11,1537,2049,batch_1/000014.jpg,12,Drink can,Can,28,672.0,1069.0,219.0,161.0,23242.0
11,1537,2049,batch_1/000014.jpg,36,Plastic film,Plastic bag & wrapper,29,401.0,1033.0,273.0,273.0,47911.5
11,1537,2049,batch_1/000014.jpg,14,Other carton,Carton,30,836.0,1010.0,339.0,207.0,36370.5
11,1537,2049,batch_1/000014.jpg,29,Other plastic,Other plastic,31,775.0,910.0,159.0,99.0,273.5
12,2049,1537,batch_1/000048.jpg,4,Other plastic bottle,Bottle,32,1527.0,460.0,415.0,1033.0,329938.0
12,2049,1537,batch_1/000048.jpg,5,Clear plastic bottle,Bottle,33,579.0,521.0,322.0,921.0,227212.5
12,2049,1537,batch_1/000048.jpg,6,Glass bottle,Bottle,34,211.0,1.0,417.0,1417.0,324005.0
12,2049,1537,batch_1/000048.jpg,16,Drink carton,Carton,35,1208.0,611.0,369.0,882.0,285954.0
12,2049,1537,batch_1/000048.jpg,16,Drink carton,Carton,36,863.0,608.0,353.0,860.0,269118.0
12,2049,1537,batch_1/000048.jpg,7,Plastic bottle cap,Bottle cap,37,1677.0,460.0,211.0,98.0,17325.5
12,2049,1537,batch_1/000048.jpg,7,Plastic bottle cap,Bottle cap,38,1325.0,663.0,155.0,115.0,14550.5
12,2049,1537,batch_1/000048.jpg,7,Plastic bottle cap,Bottle cap,39,969.0,636.0,146.0,124.0,14852.5
12,2049,1537,batch_1/000048.jpg,7,Plastic bottle cap,Bottle cap,40,610.0,521.0,185.0,97.0,14988.0
12,2049,1537,batch_1/000048.jpg,8,Metal bottle cap,Bottle cap,41,212.0,1.0,169.0,103.0,14926.5
13,1537,2049,batch_1/000053.jpg,5,Clear plastic bottle,Bottle,42,398.0,410.0,1134.0,998.0,437552.5
13,1537,2049,batch_1/000053.jpg,7,Plastic bottle cap,Bottle cap,43,1336.0,410.0,196.0,210.0,14820.0
13,1537,2049,batch_1/000053.jpg,36,Plastic film,Plastic bag & wrapper,44,0.0,1.0,338.0,664.0,159217.0
13,1537,2049,batch_1/000053.jpg,45,Disposable food container,Plastic container,45,0.0,369.0,487.0,319.0,55172.0
14,1537,2049,batch_1/000056.jpg,4,Other plastic bottle,Bottle,46,419.0,8.0,713.0,1854.0,913836.0
15,1537,2049,batch_1/000058.jpg,4,Other plastic bottle,Bottle,47,150.0,328.0,568.0,1304.0,550185.5
15,1537,2049,batch_1/000058.jpg,4,Other plastic bottle,Bottle,48,802.0,405.0,547.0,1404.0,533408.0
15,1537,2049,batch_1/000058.jpg,7,Plastic bottle cap,Bottle cap,49,971.0,405.0,296.0,191.0,47329.0
16,1537,2049,batch_1/000060.jpg,11,Aerosol,Can,50,750.0,244.0,402.0,1467.0,518154.0
16,1537,2049,batch_1/000060.jpg,33,Normal paper,Paper,51,1205.0,989.0,332.0,602.0,171665.5
17,1537,2049,batch_1/000003.jpg,20,Paper cup,Cup,52,714.0,1093.0,234.0,237.0,32486.0
18,1537,2049,batch_1/000011.jpg,12,Drink can,Can,53,522.0,1168.0,240.0,122.0,23393.0
19,1537,2049,batch_1/000032.jpg,12,Drink can,Can,54,503.0,808.0,445.0,357.0,108233.5
19,1537,2049,batch_1/000032.jpg,50,Pop tab,Pop tab,55,510.0,953.0,78.0,61.0,3190.5
20,2049,1537,batch_1/000040.jpg,10,Food Can,Can,56,285.0,402.0,472.0,624.0,222774.5
20,2049,1537,batch_1/000040.jpg,10,Food Can,Can,57,1450.0,379.0,514.0,612.0,219840.5
20,2049,1537,batch_1/000040.jpg,50,Pop tab,Pop tab,58,504.0,451.0,172.0,96.0,10073.5
20,2049,1537,batch_1/000040.jpg,50,Pop tab,Pop tab,59,1754.0,479.0,184.0,84.0,10854.5
21,2049,1537,batch_1/000043.jpg,10,Food Can,Can,60,602.0,290.0,865.0,1059.0,672696.5
21,2049,1537,batch_1/000043.jpg,50,Pop tab,Pop tab,61,923.0,337.0,227.0,277.0,30751.0
22,1537,2049,batch_1/000049.jpg,12,Drink can,Can,62,399.0,502.0,483.0,741.0,201426.0
22,1537,2049,batch_1/000049.jpg,50,Pop tab,Pop tab,63,451.0,572.0,158.0,73.0,8231.5
23,1537,2049,batch_1/000054.jpg,11,Aerosol,Can,64,184.0,898.0,494.0,854.0,268986.5
23,1537,2049,batch_1/000054.jpg,4,Other plastic bottle,Bottle,65,605.0,259.0,379.0,1196.0,342826.0
23,1537,2049,batch_1/000054.jpg,4,Other plastic bottle,Bottle,66,1051.0,202.0,486.0,1078.0,377292.5
23,1537,2049,batch_1/000054.jpg,7,Plastic bottle cap,Bottle cap,67,1263.0,202.0,273.0,302.0,51761.0
24,1537,2049,batch_1/000061.jpg,11,Aerosol,Can,68,274.0,723.0,663.0,846.0,213443.5
25,2049,1537,batch_1/000021.jpg,6,Glass bottle,Bottle,69,852.0,638.0,687.0,291.0,95494.5
25,2049,1537,batch_1/000021.jpg,39,Other plastic wrapper,Plastic bag & wrapper,70,256.0,705.0,678.0,417.0,136319.0
26,2049,1537,batch_1/000022.jpg,6,Glass bottle,Bottle,71,647.0,1033.0,820.0,376.0,142823.0
26,2049,1537,batch_1/000022.jpg,39,Other plastic wrapper,Plastic bag & wrapper,72,313.0,1400.0,414.0,135.0,37979.5
27,1537,2049,batch_1/000023.jpg,5,Clear plastic bottle,Bottle,73,372.0,1441.0,293.0,221.0,29599.5
27,1537,2049,batch_1/000023.jpg,12,Drink can,Can,74,1015.0,979.0,190.0,214.0,20471.0
27,1537,2049,batch_1/000023.jpg,12,Drink can,Can,75,904.0,1493.0,168.0,166.0,11800.5
27,1537,2049,batch_1/000023.jpg,12,Drink can,Can,76,683.0,1550.0,221.0,103.0,11367.0
27,1537,2049,batch_1/000023.jpg,12,Drink can,Can,77,1043.0,792.0,144.0,164.0,4751.0
27,1537,2049,batch_1/000023.jpg,50,Pop tab,Pop tab,78,1162.0,1166.0,18.0,27.0,362.0
27,1537,2049,batch_1/000023.jpg,7,Plastic bottle cap,Bottle cap,79,371.0,1437.0,31.0,49.0,528.0
28,1537,2049,batch_1/000024.jpg,12,Drink can,Can,80,218.0,1457.0,273.0,273.0,19347.0
28,1537,2049,batch_1/000024.jpg,12,Drink can,Can,81,634.0,860.0,227.0,232.0,26337.5
28,1537,2049,batch_1/000024.jpg,5,Clear plastic bottle,Bottle,82,463.0,1112.0,126.0,162.0,7757.5
29,1537,2049,batch_1/000027.jpg,12,Drink can,Can,83,668.0,717.0,455.0,655.0,165038.0
30,1537,2049,batch_1/000028.jpg,45,Disposable food container,Plastic container,84,351.0,460.0,910.0,683.0,305875.0
30,1537,2049,batch_1/000028.jpg,59,Cigarette,Cigarette,283,454.0,1437.0,36.0,102.0,3368.0
31,1537,2049,batch_1/000030.jpg,12,Drink can,Can,85,604.0,1052.0,187.0,320.0,27762.0
32,1537,2049,batch_1/000031.jpg,12,Drink can,Can,86,470.0,1040.0,413.0,321.0,89914.0
33,2049,1537,batch_1/000042.jpg,10,Food Can,Can,87,664.0,619.0,239.0,270.0,50284.0
33,2049,1537,batch_1/000042.jpg,10,Food Can,Can,88,1179.0,662.0,286.0,265.0,54620.0
33,2049,1537,batch_1/000042.jpg,50,Pop tab,Pop tab,89,753.0,722.0,81.0,113.0,4381.0
33,2049,1537,batch_1/000042.jpg,50,Pop tab,Pop tab,90,1318.0,677.0,65.0,98.0,3012.5
34,1537,2049,batch_1/000050.jpg,12,Drink can,Can,91,642.0,854.0,833.0,804.0,261358.0
34,1537,2049,batch_1/000050.jpg,40,Single-use carrier bag,Plastic bag & wrapper,92,124.0,735.0,392.0,550.0,148601.5
35,1537,2049,batch_1/000059.jpg,11,Aerosol,Can,93,656.0,705.0,319.0,841.0,220258.5
35,1537,2049,batch_1/000059.jpg,33,Normal paper,Paper,94,744.0,551.0,792.0,777.0,443764.5
35,1537,2049,batch_1/000059.jpg,31,Tissues,Paper,95,975.0,221.0,561.0,326.0,168227.0
35,1537,2049,batch_1/000059.jpg,13,Toilet tube,Carton,96,1032.0,281.0,28.0,146.0,3056.5
36,1537,2049,batch_1/000000.jpg,5,Clear plastic bottle,Bottle,97,710.0,1225.0,153.0,198.0,14765.5
37,1537,2049,batch_1/000013.jpg,6,Glass bottle,Bottle,98,811.0,1123.0,199.0,350.0,24923.0
38,1537,2049,batch_1/000015.jpg,36,Plastic film,Plastic bag & wrapper,99,1346.0,1367.0,191.0,292.0,43364.5
38,1537,2049,batch_1/000015.jpg,42,Crisp packet,Plastic bag & wrapper,100,828.0,1058.0,193.0,187.0,21204.0
39,1537,2049,batch_1/000016.jpg,6,Glass bottle,Bottle,101,593.0,934.0,432.0,238.0,45001.0
40,1537,2049,batch_1/000017.jpg,6,Glass bottle,Bottle,102,713.0,530.0,191.0,373.0,35424.0
41,1537,2049,batch_1/000025.jpg,12,Drink can,Can,103,323.0,1055.0,487.0,352.0,97726.0
41,1537,2049,batch_1/000025.jpg,50,Pop tab,Pop tab,104,749.0,1289.0,25.0,86.0,1750.0
41,1537,2049,batch_1/000025.jpg,33,Normal paper,Paper,105,1426.0,1294.0,110.0,273.0,14693.0
42,1537,2049,batch_1/000029.jpg,12,Drink can,Can,106,652.0,874.0,425.0,689.0,152825.5
43,1537,2049,batch_1/000035.jpg,4,Other plastic bottle,Bottle,107,33.0,230.0,602.0,1316.0,561775.0
43,1537,2049,batch_1/000035.jpg,4,Other plastic bottle,Bottle,108,807.0,103.0,710.0,1613.0,808831.5
43,1537,2049,batch_1/000035.jpg,23,Glass cup,Cup,109,886.0,522.0,314.0,432.0,115828.0
44,2049,1537,batch_1/000037.jpg,10,Food Can,Can,110,929.0,557.0,379.0,500.0,137266.5
44,2049,1537,batch_1/000037.jpg,10,Food Can,Can,111,494.0,531.0,372.0,533.0,157322.0
44,2049,1537,batch_1/000037.jpg,10,Food Can,Can,112,709.0,271.0,296.0,482.0,101780.5
44,2049,1537,batch_1/000037.jpg,50,Pop tab,Pop tab,113,658.0,639.0,137.0,90.0,8175.0
44,2049,1537,batch_1/000037.jpg,50,Pop tab,Pop tab,114,781.0,293.0,101.0,76.0,5207.0
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,115,564.0,1303.0,522.0,233.0,99856.5
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,116,0.0,452.0,437.0,504.0,196598.0
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,117,395.0,475.0,424.0,486.0,183373.0
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,118,804.0,465.0,339.0,501.0,157239.5
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,119,1128.0,327.0,496.0,648.0,284755.0
45,2049,1537,batch_1/000045.jpg,10,Food Can,Can,120,1583.0,315.0,466.0,669.0,280189.5
46,2049,1537,batch_1/000038.jpg,10,Food Can,Can,121,238.0,686.0,401.0,475.0,134469.5
46,2049,1537,batch_1/000038.jpg,10,Food Can,Can,122,802.0,410.0,413.0,344.0,89801.0
46,2049,1537,batch_1/000038.jpg,10,Food Can,Can,123,1498.0,636.0,405.0,477.0,137404.5
46,2049,1537,batch_1/000038.jpg,50,Pop tab,Pop tab,124,392.0,764.0,157.0,80.0,6525.0
46,2049,1537,batch_1/000038.jpg,50,Pop tab,Pop tab,125,1134.0,570.0,64.0,83.0,2022.0
46,2049,1537,batch_1/000038.jpg,50,Pop tab,Pop tab,126,1719.0,752.0,140.0,98.0,5486.5
47,3264,2448,batch_1/000065.JPG,27,Plastic lid,Lid,127,53.0,480.0,1041.0,1047.0,728920.5
47,3264,2448,batch_1/000065.JPG,28,Metal lid,Lid,128,1414.0,1285.0,599.0,594.0,273165.0
47,3264,2448,batch_1/000065.JPG,15,Egg carton,Carton,129,1824.0,475.0,1028.0,735.0,548585.0
47,3264,2448,batch_1/000065.JPG,15,Egg carton,Carton,130,1183.0,55.0,1006.0,1054.0,695322.5
48,3264,2448,batch_1/000066.JPG,15,Egg carton,Carton,131,413.0,1120.0,1143.0,922.0,566935.5
49,2448,3264,batch_1/000067.JPG,15,Egg carton,Carton,132,31.0,194.0,1700.0,2107.0,3020306.0
50,2448,3264,batch_1/000068.JPG,55,Plastic straw,Straw,133,898.0,1777.0,770.0,197.0,20971.0
50,2448,3264,batch_1/000068.JPG,59,Cigarette,Cigarette,284,170.0,1508.0,86.0,154.0,6168.0
50,2448,3264,batch_1/000068.JPG,59,Cigarette,Cigarette,285,130.0,1348.0,78.0,98.0,3454.0
51,2448,3264,batch_1/000069.JPG,12,Drink can,Can,134,1050.0,1654.0,410.0,353.0,99515.5
52,2448,3264,batch_1/000070.JPG,12,Drink can,Can,135,1038.0,1111.0,255.0,637.0,138820.5
53,2448,3264,batch_1/000071.JPG,14,Other carton,Carton,136,1024.0,1397.0,556.0,592.0,144990.0
54,2448,3264,batch_1/000072.JPG,42,Crisp packet,Plastic bag & wrapper,137,704.0,1301.0,683.0,591.0,257105.0
54,2448,3264,batch_1/000072.JPG,33,Normal paper,Paper,138,1.0,1413.0,814.0,1030.0,533149.0
54,2448,3264,batch_1/000072.JPG,59,Cigarette,Cigarette,286,968.0,2492.0,138.0,126.0,5862.0
55,2448,3264,batch_1/000073.JPG,12,Drink can,Can,139,940.0,837.0,492.0,711.0,202553.5
56,2448,3264,batch_1/000074.JPG,20,Paper cup,Cup,140,1205.0,1905.0,211.0,271.0,29272.0
56,2448,3264,batch_1/000074.JPG,59,Cigarette,Cigarette,287,1776.0,1222.0,38.0,10.0,280.0
57,2448,3264,batch_1/000076.JPG,55,Plastic straw,Straw,141,603.0,1908.0,382.0,359.0,9937.0
57,2448,3264,batch_1/000076.JPG,59,Cigarette,Cigarette,288,548.0,1836.0,52.0,52.0,1032.0
57,2448,3264,batch_1/000076.JPG,59,Cigarette,Cigarette,289,368.0,1658.0,56.0,58.0,922.0
57,2448,3264,batch_1/000076.JPG,59,Cigarette,Cigarette,290,302.0,1634.0,76.0,80.0,1966.0
57,2448,3264,batch_1/000076.JPG,59,Cigarette,Cigarette,291,54.0,1340.0,60.0,62.0,944.0
57,2448,3264,batch_1/000076.JPG,59,Cigarette,Cigarette,292,1180.0,876.0,74.0,70.0,1394.0
57,2448,3264,batch_1/000076.JPG,59,Cigarette,Cigarette,293,1026.0,1004.0,70.0,70.0,1760.0
58,2448,3264,batch_1/000078.JPG,34,Paper bag,Paper bag,142,421.0,1009.0,1362.0,1946.0,1183239.5
59,2448,3264,batch_1/000079.JPG,34,Paper bag,Paper bag,143,257.0,1089.0,1712.0,1781.0,1918134.5
60,2448,3264,batch_1/000081.JPG,5,Clear plastic bottle,Bottle,144,749.0,1972.0,444.0,284.0,62899.0
60,2448,3264,batch_1/000081.JPG,7,Plastic bottle cap,Bottle cap,145,1135.0,1972.0,57.0,91.0,1977.0
60,2448,3264,batch_1/000081.JPG,59,Cigarette,Cigarette,294,1388.0,2610.0,64.0,96.0,2908.0
61,2448,3264,batch_1/000082.JPG,42,Crisp packet,Plastic bag & wrapper,146,966.0,1399.0,525.0,485.0,153477.0
62,2448,3264,batch_1/000083.JPG,20,Paper cup,Cup,147,942.0,950.0,494.0,504.0,201290.5
62,2448,3264,batch_1/000083.JPG,27,Plastic lid,Lid,148,1390.0,915.0,278.0,564.0,121723.5
63,2448,3264,batch_1/000084.JPG,21,Disposable plastic cup,Cup,149,701.0,2191.0,605.0,559.0,176796.0
63,2448,3264,batch_1/000084.JPG,27,Plastic lid,Lid,150,1070.0,2180.0,306.0,426.0,72869.5
63,2448,3264,batch_1/000084.JPG,12,Drink can,Can,151,1090.0,411.0,170.0,148.0,18523.5
63,2448,3264,batch_1/000084.JPG,12,Drink can,Can,152,1905.0,284.0,146.0,151.0,16817.5
64,2448,3264,batch_1/000085.JPG,55,Plastic straw,Straw,153,871.0,1258.0,841.0,313.0,43217.5
64,2448,3264,batch_1/000085.JPG,9,Broken glass,Broken glass,154,1562.0,1159.0,69.0,96.0,3475.5
64,2448,3264,batch_1/000085.JPG,9,Broken glass,Broken glass,155,2355.0,1425.0,74.0,44.0,2226.0
64,2448,3264,batch_1/000085.JPG,59,Cigarette,Cigarette,295,1338.0,1236.0,74.0,46.0,1950.0
64,2448,3264,batch_1/000085.JPG,59,Cigarette,Cigarette,296,1536.0,1146.0,118.0,32.0,3026.0
64,2448,3264,batch_1/000085.JPG,59,Cigarette,Cigarette,297,1590.0,1214.0,124.0,86.0,3714.0
64,2448,3264,batch_1/000085.JPG,59,Cigarette,Cigarette,298,1676.0,1424.0,34.0,102.0,2872.0
64,2448,3264,batch_1/000085.JPG,59,Cigarette,Cigarette,299,1710.0,1472.0,104.0,40.0,2624.0
64,2448,3264,batch_1/000085.JPG,59,Cigarette,Cigarette,300,1854.0,1278.0,28.0,82.0,1822.0
65,2448,3264,batch_1/000086.JPG,49,Plastic utensils,Plastic utensils,156,1246.0,1052.0,407.0,563.0,47454.5
65,2448,3264,batch_1/000086.JPG,59,Cigarette,Cigarette,301,740.0,540.0,122.0,62.0,3348.0
65,2448,3264,batch_1/000086.JPG,59,Cigarette,Cigarette,302,1396.0,1630.0,124.0,86.0,3232.0
66,2448,3264,batch_1/000087.JPG,34,Paper bag,Paper bag,157,1018.0,1125.0,358.0,397.0,84571.0
66,2448,3264,batch_1/000087.JPG,59,Cigarette,Cigarette,303,148.0,816.0,60.0,72.0,2168.0
67,2448,3264,batch_1/000088.JPG,10,Food Can,Can,158,311.0,1648.0,865.0,853.0,591627.0
67,2448,3264,batch_1/000088.JPG,26,Glass jar,Glass jar,159,1633.0,1055.0,724.0,1196.0,510573.5
67,2448,3264,batch_1/000088.JPG,28,Metal lid,Lid,160,1833.0,1055.0,519.0,365.0,146529.5
67,2448,3264,batch_1/000088.JPG,31,Tissues,Paper,161,829.0,2.0,1196.0,1267.0,1188465.5
68,2448,3264,batch_1/000090.JPG,10,Food Can,Can,162,608.0,439.0,931.0,1192.0,797474.0
68,2448,3264,batch_1/000090.JPG,25,Food waste,Food waste,163,1118.0,1008.0,386.0,380.0,47527.5
69,3264,2448,batch_1/000091.JPG,54,Squeezable tube,Squeezable tube,164,0.0,414.0,2190.0,1601.0,1321487.0
69,3264,2448,batch_1/000091.JPG,8,Metal bottle cap,Bottle cap,165,2593.0,914.0,582.0,441.0,196503.5
70,2448,3264,batch_1/000092.JPG,14,Other carton,Carton,166,277.0,686.0,1133.0,1198.0,829357.5
70,2448,3264,batch_1/000092.JPG,43,Spread tub,Plastic container,167,1533.0,926.0,618.0,656.0,301459.5
70,2448,3264,batch_1/000092.JPG,39,Other plastic wrapper,Plastic bag & wrapper,168,1535.0,926.0,614.0,525.0,235616.5
71,2448,3264,batch_1/000093.JPG,43,Spread tub,Plastic container,169,1278.0,1841.0,602.0,654.0,261345.5
72,2448,3264,batch_1/000094.JPG,36,Plastic film,Plastic bag & wrapper,170,311.0,729.0,1507.0,1739.0,1631777.5
72,2448,3264,batch_1/000094.JPG,25,Food waste,Food waste,171,665.0,936.0,1057.0,1023.0,704098.0
73,2448,3264,batch_1/000095.JPG,40,Single-use carrier bag,Plastic bag & wrapper,172,620.0,1033.0,1749.0,2161.0,2607974.5
73,2448,3264,batch_1/000095.JPG,53,Shoe,Shoe,173,959.0,583.0,366.0,521.0,141720.5
73,2448,3264,batch_1/000095.JPG,53,Shoe,Shoe,174,480.0,541.0,483.0,732.0,217324.0
74,2448,3264,batch_1/000096.JPG,38,Garbage bag,Plastic bag & wrapper,175,597.0,1008.0,1218.0,1126.0,1044590.0
75,2448,3264,batch_1/000062.JPG,12,Drink can,Can,176,870.0,673.0,620.0,386.0,148961.0
75,2448,3264,batch_1/000062.JPG,12,Drink can,Can,177,1447.0,829.0,603.0,661.0,202419.5
75,2448,3264,batch_1/000062.JPG,5,Clear plastic bottle,Bottle,178,657.0,1036.0,835.0,361.0,199505.0
75,2448,3264,batch_1/000062.JPG,50,Pop tab,Pop tab,179,1472.0,1384.0,109.0,44.0,3631.5
75,2448,3264,batch_1/000062.JPG,39,Other plastic wrapper,Plastic bag & wrapper,180,0.0,2135.0,440.0,745.0,104576.0
75,2448,3264,batch_1/000062.JPG,39,Other plastic wrapper,Plastic bag & wrapper,181,1963.0,405.0,81.0,47.0,1704.0
75,2448,3264,batch_1/000062.JPG,36,Plastic film,Plastic bag & wrapper,182,524.0,1487.0,878.0,1427.0,394328.5
75,2448,3264,batch_1/000062.JPG,36,Plastic film,Plastic bag & wrapper,183,625.0,2233.0,403.0,461.0,73149.0
75,2448,3264,batch_1/000062.JPG,36,Plastic film,Plastic bag & wrapper,184,1904.0,49.0,180.0,148.0,13122.5
75,2448,3264,batch_1/000062.JPG,0,Aluminium foil,Aluminium foil,185,2016.0,1783.0,117.0,87.0,4834.5
75,2448,3264,batch_1/000062.JPG,0,Aluminium foil,Aluminium foil,186,1065.0,2681.0,58.0,117.0,2627.5
75,2448,3264,batch_1/000062.JPG,33,Normal paper,Paper,187,1113.0,411.0,105.0,180.0,9889.5
75,2448,3264,batch_1/000062.JPG,7,Plastic bottle cap,Bottle cap,188,657.0,1217.0,80.0,160.0,7473.5
76,2448,3264,batch_1/000098.JPG,5,Clear plastic bottle,Bottle,189,571.0,985.0,447.0,814.0,211163.5
76,2448,3264,batch_1/000098.JPG,39,Other plastic wrapper,Plastic bag & wrapper,190,1751.0,2342.0,174.0,90.0,8514.0
76,2448,3264,batch_1/000098.JPG,8,Metal bottle cap,Bottle cap,191,1998.0,1730.0,85.0,67.0,4154.5
76,2448,3264,batch_1/000098.JPG,7,Plastic bottle cap,Bottle cap,192,797.0,985.0,96.0,53.0,2082.5
76,2448,3264,batch_1/000098.JPG,50,Pop tab,Pop tab,193,1913.0,2526.0,125.0,95.0,5101.5
77,2448,3264,batch_1/000099.JPG,37,Six pack rings,Plastic bag & wrapper,194,657.0,15.0,553.0,583.0,71303.0
77,2448,3264,batch_1/000099.JPG,27,Plastic lid,Lid,195,850.0,1772.0,424.0,418.0,134279.5
78,2448,3264,batch_1/000064.JPG,22,Foam cup,Cup,196,913.0,1077.0,606.0,591.0,254722.5
79,2448,3264,batch_1/000100.JPG,22,Foam cup,Cup,197,930.0,615.0,706.0,709.0,380700.0
80,2448,3264,batch_1/000101.JPG,56,Paper straw,Straw,198,1040.0,59.0,910.0,2252.0,310918.0
80,2448,3264,batch_1/000101.JPG,23,Glass cup,Cup,199,439.0,1055.0,1445.0,1373.0,1427683.5
81,2448,3264,batch_1/000102.JPG,17,Corrugated carton,Carton,200,812.0,1171.0,1204.0,825.0,895154.5
81,2448,3264,batch_1/000102.JPG,17,Corrugated carton,Carton,201,955.0,340.0,1040.0,878.0,571137.5
81,2448,3264,batch_1/000102.JPG,17,Corrugated carton,Carton,202,1824.0,720.0,610.0,818.0,300483.0
81,2448,3264,batch_1/000102.JPG,25,Food waste,Food waste,203,1177.0,1887.0,52.0,48.0,2134.5
81,2448,3264,batch_1/000102.JPG,25,Food waste,Food waste,204,1014.0,1875.0,50.0,46.0,1567.5
81,2448,3264,batch_1/000102.JPG,58,Unlabeled litter,Unlabeled litter,205,1097.0,222.0,106.0,70.0,1190.0
82,3264,2448,batch_1/000104.JPG,2,Aluminium blister pack,Blister pack,206,1958.0,128.0,564.0,685.0,284480.5
82,3264,2448,batch_1/000104.JPG,1,Battery,Battery,207,1322.0,425.0,311.0,215.0,29274.0
82,3264,2448,batch_1/000104.JPG,11,Aerosol,Can,208,734.0,1236.0,1192.0,1153.0,487038.0
82,3264,2448,batch_1/000104.JPG,7,Plastic bottle cap,Bottle cap,209,2245.0,1878.0,284.0,270.0,55290.0
82,3264,2448,batch_1/000104.JPG,7,Plastic bottle cap,Bottle cap,210,2493.0,1045.0,260.0,184.0,33212.5
82,3264,2448,batch_1/000104.JPG,54,Squeezable tube,Squeezable tube,211,2493.0,1044.0,689.0,1229.0,348845.5
82,3264,2448,batch_1/000104.JPG,54,Squeezable tube,Squeezable tube,212,1545.0,1010.0,375.0,455.0,49416.5
83,2448,3264,batch_1/000105.JPG,36,Plastic film,Plastic bag & wrapper,213,848.0,1113.0,1099.0,1418.0,1291600.0
84,2448,3264,batch_1/000106.JPG,13,Toilet tube,Carton,214,1105.0,827.0,756.0,295.0,197746.0
84,2448,3264,batch_1/000106.JPG,13,Toilet tube,Carton,215,760.0,1661.0,523.0,195.0,91875.0
84,2448,3264,batch_1/000106.JPG,13,Toilet tube,Carton,216,951.0,2782.0,299.0,422.0,76466.0
84,2448,3264,batch_1/000106.JPG,4,Other plastic bottle,Bottle,217,1680.0,2500.0,278.0,682.0,151893.5
